"export-plot data (NetLogo 5.3.1)"
"Physarum VRP Solver.nlogo"
"03/30/2018 13:00:18:215 +0200"

"MODEL SETTINGS"
"min-ants-in-neighbourhood","pheromone-ceiling","max-ants-in-neighbourhood","rotation-angle","sensor-offset","particle-place-method","nr-of-particles","minimum-particles","sensing-frequency","diffuserate","which-to-visualize","food-deposit","problemnumber","how-to-place-cities","capacity","cityradius","hideparticles","nr-of-types","food-strength","citynumber","run-number","neighbourhood-size","hidecities","step-size","sensor-angle","probability-of-death","city-claim-minimum","food-radius"
"75","0.5","5000","45","2.6","""depot""","5000","1000","0.2","0.5","4","1","1","""Load File""","11","5","true","2","0.4","20","1","5","true","1","45","0","1","2.5"

"""Number of ants by color"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","5500","true","""Red""","false","11"

"pen name","pen down?","mode","interval","color","x"
"""Red""","true","0","1","15","88"
"""Blue""","true","0","1","105","88"
"""Green""","true","0","1","55","88"
"""Total""","true","0","1","5","88"
"""Yellow""","true","0","1","45","88"
"""Orange""","true","0","1","25","88"
"""Pink""","true","0","1","135","88"
"""Violet""","true","0","1","115","88"
"""Sky""","true","0","1","95","88"
"""Cyan""","true","0","1","85","88"
"""Brown""","true","0","1","35","88"

"""Red""",,,,"""Blue""",,,,"""Green""",,,,"""Total""",,,,"""Yellow""",,,,"""Orange""",,,,"""Pink""",,,,"""Violet""",,,,"""Sky""",,,,"""Cyan""",,,,"""Brown"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","2500","15","true","0","2500","105","true","0","0","55","true","0","5000","5","true","0","0","45","true","0","0","25","true","0","0","135","true","0","0","115","true","0","0","95","true","0","0","85","true","0","0","35","true"
"1","2500","15","true","1","2500","105","true","1","0","55","true","1","5000","5","true","1","0","45","true","1","0","25","true","1","0","135","true","1","0","115","true","1","0","95","true","1","0","85","true","1","0","35","true"
"2","2500","15","true","2","2500","105","true","2","0","55","true","2","5000","5","true","2","0","45","true","2","0","25","true","2","0","135","true","2","0","115","true","2","0","95","true","2","0","85","true","2","0","35","true"
"3","2500","15","true","3","2500","105","true","3","0","55","true","3","5000","5","true","3","0","45","true","3","0","25","true","3","0","135","true","3","0","115","true","3","0","95","true","3","0","85","true","3","0","35","true"
"4","2500","15","true","4","2500","105","true","4","0","55","true","4","5000","5","true","4","0","45","true","4","0","25","true","4","0","135","true","4","0","115","true","4","0","95","true","4","0","85","true","4","0","35","true"
"5","2500","15","true","5","2500","105","true","5","0","55","true","5","5000","5","true","5","0","45","true","5","0","25","true","5","0","135","true","5","0","115","true","5","0","95","true","5","0","85","true","5","0","35","true"
"6","2500","15","true","6","2500","105","true","6","0","55","true","6","5000","5","true","6","0","45","true","6","0","25","true","6","0","135","true","6","0","115","true","6","0","95","true","6","0","85","true","6","0","35","true"
"7","2500","15","true","7","2500","105","true","7","0","55","true","7","5000","5","true","7","0","45","true","7","0","25","true","7","0","135","true","7","0","115","true","7","0","95","true","7","0","85","true","7","0","35","true"
"8","2500","15","true","8","2500","105","true","8","0","55","true","8","5000","5","true","8","0","45","true","8","0","25","true","8","0","135","true","8","0","115","true","8","0","95","true","8","0","85","true","8","0","35","true"
"9","2500","15","true","9","2500","105","true","9","0","55","true","9","5000","5","true","9","0","45","true","9","0","25","true","9","0","135","true","9","0","115","true","9","0","95","true","9","0","85","true","9","0","35","true"
"10","2500","15","true","10","2502","105","true","10","0","55","true","10","5002","5","true","10","0","45","true","10","0","25","true","10","0","135","true","10","0","115","true","10","0","95","true","10","0","85","true","10","0","35","true"
"11","2500","15","true","11","2504","105","true","11","0","55","true","11","5004","5","true","11","0","45","true","11","0","25","true","11","0","135","true","11","0","115","true","11","0","95","true","11","0","85","true","11","0","35","true"
"12","2499","15","true","12","2504","105","true","12","0","55","true","12","5003","5","true","12","0","45","true","12","0","25","true","12","0","135","true","12","0","115","true","12","0","95","true","12","0","85","true","12","0","35","true"
"13","2497","15","true","13","2508","105","true","13","0","55","true","13","5005","5","true","13","0","45","true","13","0","25","true","13","0","135","true","13","0","115","true","13","0","95","true","13","0","85","true","13","0","35","true"
"14","2495","15","true","14","2511","105","true","14","0","55","true","14","5006","5","true","14","0","45","true","14","0","25","true","14","0","135","true","14","0","115","true","14","0","95","true","14","0","85","true","14","0","35","true"
"15","2490","15","true","15","2521","105","true","15","0","55","true","15","5011","5","true","15","0","45","true","15","0","25","true","15","0","135","true","15","0","115","true","15","0","95","true","15","0","85","true","15","0","35","true"
